Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,22,0,1978
2,86,0,1892
3,71,0,1821
4,71,0,1750
5,66,0,1684
6,18,0,1666
7,0,334,2000
8,63,0,1937
9,53,0,1884
10,70,0,1814
11,75,0,1739
12,177,0,1562
13,139,0,1423
14,0,577,2000
15,97,0,1903
16,86,0,1817
17,115,0,1702
18,52,0,1650
19,89,0,1561
20,73,0,1488
21,0,512,2000
22,140,0,1860
23,54,0,1806
24,117,0,1689
25,92,0,1597
26,177,0,1420
27,193,0,1227
28,0,773,2000
29,110,0,1890
30,155,0,1735
31,163,0,1572
32,119,0,1453
33,58,0,1395
34,172,0,1223
35,0,777,2000
36,183,0,1817
37,160,0,1657
38,65,0,1592
39,170,0,1422
40,136,0,1286
41,29,0,1257
42,0,743,2000
43,65,0,1935
44,91,0,1844
45,154,0,1690
46,192,0,1498
47,29,0,1469
48,137,0,1332
49,0,668,2000
