Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,31,0,1969
2,0,0,1969
3,22,0,1947
4,110,0,1837
5,12,0,1825
6,164,0,1661
7,0,339,2000
8,73,0,1927
9,97,0,1830
10,68,0,1762
11,139,0,1623
12,70,0,1553
13,107,0,1446
14,0,554,2000
15,41,0,1959
16,59,0,1900
17,52,0,1848
18,46,0,1802
19,76,0,1726
20,146,0,1580
21,0,420,2000
22,91,0,1909
23,64,0,1845
24,112,0,1733
25,6,0,1727
26,80,0,1647
27,168,0,1479
28,0,521,2000
29,148,0,1852
30,199,0,1653
31,91,0,1562
32,8,0,1554
33,105,0,1449
34,176,0,1273
35,0,727,2000
36,17,0,1983
37,107,0,1876
38,80,0,1796
39,165,0,1631
40,82,0,1549
41,55,0,1494
42,0,506,2000
43,9,0,1991
44,23,0,1968
45,138,0,1830
46,111,0,1719
47,58,0,1661
48,52,0,1609
49,0,391,2000
